hand,won,played
22,94,217
33,99,217
44,106,216
55,117,241
66,135,248
77,118,224
88,128,207
99,119,210
TT,135,205
JJ,155,221
QQ,160,241
KK,175,232
AA,187,246
32s,49,167
42s,52,148
52s,53,165
62s,49,142
72s,56,161
82s,55,160
92s,56,152
T2s,55,147
J2s,58,154
Q2s,70,149
K2s,79,157
A2s,72,144
43s,57,168
53s,38,138
63s,64,164
73s,61,179
83s,49,150
93s,50,130
T3s,67,159
J3s,61,157
Q3s,73,160
K3s,66,138
A3s,70,140
54s,43,147
64s,53,152
74s,61,161
84s,44,147
94s,51,132
T4s,66,157
J4s,60,146
Q4s,59,158
K4s,67,148
A4s,76,159
65s,64,142
75s,59,163
85s,57,149
95s,52,153
T5s,60,159
J5s,65,152
Q5s,63,126
K5s,68,145
A5s,72,168
76s,65,150
86s,61,156
96s,69,189
T6s,56,143
J6s,73,152
Q6s,73,137
K6s,74,142
A6s,76,154
87s,68,158
97s,80,175
T7s,63,135
J7s,64,140
Q7s,61,149
K7s,72,162
A7s,59,139
98s,67,152
T8s,61,156
J8s,83,164
Q8s,66,141
K8s,71,143
A8s,71,142
T9s,66,133
J9s,55,145
Q9s,78,144
K9s,74,150
A9s,84,169
JTs,71,144
QTs,85,165
KTs,88,166
ATs,87,149
QJs,80,151
KJs,75,154
AJs,65,135
KQs,85,153
AQs,84,149
AKs,78,150
32o,131,445
42o,114,438
52o,138,487
62o,145,489
72o,141,445
82o,138,430
92o,143,436
T2o,179,475
J2o,177,463
Q2o,173,458
K2o,183,479
A2o,196,471
43o,129,456
53o,143,466
63o,133,451
73o,119,418
83o,151,450
93o,162,449
T3o,138,426
J3o,180,458
Q3o,177,454
K3o,185,447
A3o,179,414
54o,131,440
64o,136,453
74o,154,460
84o,134,446
94o,157,459
T4o,165,475
J4o,169,448
Q4o,182,451
K4o,170,433
A4o,219,481
65o,159,441
75o,162,466
85o,170,475
95o,166,457
T5o,170,444
J5o,167,468
Q5o,172,453
K5o,191,430
A5o,179,422
76o,146,423
86o,162,449
96o,170,445
T6o,155,449
J6o,184,451
Q6o,191,458
K6o,182,435
A6o,181,415
87o,182,470
97o,168,451
T7o,179,456
J7o,191,458
Q7o,154,409
K7o,208,471
A7o,216,451
98o,180,440
T8o,171,440
J8o,203,473
Q8o,179,422
K8o,215,466
A8o,200,415
T9o,202,463
J9o,209,474
Q9o,198,431
K9o,223,460
A9o,247,478
JTo,215,455
QTo,242,465
KTo,220,454
ATo,218,443
QJo,213,466
KJo,252,473
AJo,240,470
KQo,228,472
AQo,214,421
AKo,243,467
